v,j,l
1,11885,38
-1,6932,46
1,16347,118
-1,18907,57
1,10280,112
-1,29859,61
1,4218,59
-1,21697,98
1,4730,205
-1,32470,6
-1,10718,159
1,4244,156
1,11874,241
-1,21433,174
-1,3411,75
1,29852,0
1,9109,133
-1,9737,216
1,32548,182
1,12013,210
-1,21261,43
-1,24193,63
1,29378,72
1,30170,120
1,15604,69
1,2949,109
-1,27378,197
1,18742,15
-1,29325,107
-1,12755,155
-1,11997,61
-1,2036,45
1,1850,76
1,2114,152
-1,24403,207
-1,7094,251
-1,7671,49
-1,6801,82
-1,1206,6
1,22469,1
-1,25500,121
-1,1603,42
1,5902,156
-1,7361,205
1,27587,60
-1,25452,189
-1,13085,209
-1,25366,32
1,18167,148
-1,21940,162
1,27502,179
-1,24124,211
1,30087,210
-1,28796,238
-1,3619,98
-1,11204,243
1,27962,17
-1,19481,87
1,23158,105
-1,26279,213
1,8267,86
1,24528,235
1,30791,101
1,27728,109
-1,27443,155
1,7758,84
-1,3488,238
1,23667,59
-1,15354,177
1,1016,21
-1,6461,238
-1,30455,0
-1,29205,59
1,7482,100
-1,11074,70
-1,15501,132
1,27889,201
1,10242,100
-1,22583,132
1,9020,213
-1,15869,158
1,28143,97
1,32074,170
1,18947,122
1,6313,247
-1,6632,196
1,9938,69
-1,28923,229
1,31566,225
1,24116,54
-1,18276,109
1,8487,191
1,16748,59
-1,32116,79
1,18858,205
-1,6299,220
-1,15641,72
-1,15076,231
-1,13808,228
1,20167,105
1,5942,46
1,30774,170
1,6790,140
1,20393,78
-1,16561,105
1,16708,73
1,5561,134
1,6259,245
1,30143,80
-1,9092,14
1,24451,191
-1,26202,247
1,25540,155
-1,13647,169
-1,15916,109
-1,25564,121
-1,28470,32
-1,26041,153
1,5965,91
-1,26223,81
1,26467,245
1,8215,51
1,8665,127
1,13255,78
-1,22418,143
-1,20773,190
1,2925,69
1,19426,179
1,9922,133
1,27466,123
1,3980,130
-1,2347,210
-1,4626,72
-1,15134,164
-1,14450,201
-1,26744,110
-1,624,104
-1,15192,141
-1,28616,198
1,23240,103
1,23541,154
1,4840,137
-1,31054,27
-1,17569,34
1,23279,121
-1,25068,117
1,23543,52
1,20463,178
1,390,114
-1,8985,54
1,27689,160
1,22315,32
1,13766,87
-1,2365,103
-1,6656,79
1,15822,34
1,6685,76
-1,27913,48
1,12251,245
-1,22995,143
1,14047,218
1,5040,113
1,26489,185
1,2860,61
1,26591,58
-1,29170,73
1,14460,168
1,10232,123
-1,21711,87
-1,401,216
-1,25805,119
-1,18292,82
1,1036,17
1,4076,121
-1,26458,214
1,1221,158
-1,10254,142
1,15317,60
1,26051,171
-1,28968,133
-1,7508,211
1,28833,172
1,11086,82
1,23826,105
1,23715,248
1,16786,59
-1,25146,30
-1,24470,217
-1,18211,158
-1,1188,246
-1,31265,118
1,3049,246
1,17783,8
1,9270,178
1,1164,111
1,16651,22
-1,23080,208
-1,27831,128
-1,20132,172
1,16516,165
-1,28268,239
1,23851,38
-1,2116,216
1,5227,197
1,7677,93
1,10168,91
-1,6318,66
1,10461,202
1,7746,213
-1,19378,12
1,2526,221
-1,11639,9
1,5098,21
1,11275,225
-1,2141,92
1,16162,93
1,15934,221
1,21986,237
1,2144,38
1,6738,19
1,11964,253
-1,2506,85
1,9114,209
1,18139,1
1,6273,200
1,20457,174
1,18420,94
1,6326,106
1,946,117
-1,21432,250
-1,2198,22
-1,14633,191
-1,23531,128
-1,29125,162
1,27855,251
-1,16544,249
1,1519,249
1,31306,191
1,4576,66
-1,14741,58
1,4165,119
-1,16640,80
-1,27153,224
-1,22643,89
-1,24104,40
-1,7235,57
-1,25444,133
1,5490,61
1,24771,189
-1,27719,90
-1,6182,204
-1,21239,59
1,16084,25
1,26800,146
1,9294,62
1,22759,160
-1,28398,57
-1,8968,131
-1,3050,162
-1,4023,56
-1,26712,27
1,21421,0
-1,16990,128
1,32073,87
1,14006,10
1,12625,123
-1,2453,161
1,13879,29
1,16955,193
-1,9168,223
-1,27023,153
-1,13927,83
1,6726,214
1,13603,90
1,19559,49
-1,5658,200
-1,27751,110
-1,22923,123
1,14142,48
-1,7090,76
-1,24901,105
1,24119,163
1,13680,185
-1,5471,72
1,1873,219
-1,23821,110
-1,6195,75
-1,22680,7
1,22849,56
1,5926,189
1,27169,24
-1,22025,179
-1,11173,147
1,6207,250
1,25812,152
1,31727,144
1,13551,33
1,2888,76
1,6555,116
-1,2993,112
1,19100,69
1,5710,194
1,29871,226
-1,7016,42
-1,20308,19
-1,18798,49
1,29539,8
1,29622,218
1,9735,102
1,32193,82
1,19082,192
-1,9134,48
1,829,44
-1,5922,118
-1,12947,194
-1,1552,87
1,3853,61
-1,10686,251
-1,12047,238
1,15645,62
1,26980,82
1,11604,96
-1,31459,222
1,10591,56
-1,16183,0
-1,6887,189
1,27289,59
1,6170,238
-1,30909,232
1,24645,200
1,4978,247
1,1965,67
-1,27606,169
-1,22519,67
1,17618,216
1,31865,189
1,22750,82
1,25550,86
-1,21782,3
-1,3699,107
-1,18650,78
1,6417,156
1,30943,185
1,10451,60
-1,27102,97
1,30943,22
-1,22861,186
1,25470,148
-1,8050,195
-1,12746,210
1,1588,45
1,23663,16
-1,6958,107
-1,13272,149
-1,2801,29
-1,15393,167
1,10078,24
-1,24897,145
1,9642,101
-1,4351,9
-1,27087,165
1,7305,62
1,31803,225
-1,29470,111
1,7216,45
1,6343,156
-1,24834,214
1,21998,46
1,1578,253
1,5801,114
1,32691,130
-1,10774,11
1,10128,64
1,843,201
-1,2607,99
1,18241,168
1,20428,202
1,11135,64
-1,32082,73
-1,2109,84
-1,28412,191
1,25535,121
-1,5590,155
1,21218,125
1,30071,181
1,25722,79
1,27595,230
1,15736,72
1,16961,45
-1,27721,42
1,8256,229
1,2675,154
-1,5952,185
-1,27669,132
-1,16170,120
-1,19489,107
-1,16416,154
1,4672,56
1,1938,141
-1,16427,211
1,10706,77
-1,31699,12
-1,18929,201
-1,9523,104
1,10713,67
1,11941,241
1,5970,71
1,30117,63
-1,4038,74
-1,32654,49
1,29663,249
-1,3124,88
-1,9400,103
-1,15013,151
-1,32131,139
1,8737,100
-1,3889,66
-1,25432,190
-1,29298,218
1,12117,198
1,18629,155
-1,7444,218
-1,8189,140
1,11679,52
1,16923,191
1,11998,155
1,27108,14
1,16544,177
1,4540,187
1,11230,141
1,2476,186
1,5761,75
1,16372,169
1,19556,231
-1,8205,255
-1,16126,241
1,11481,117
-1,30175,117
-1,9244,172
1,1913,42
-1,20563,111
1,13060,175
1,27132,93
1,19964,92
1,20180,105
1,2035,100
-1,20488,75
-1,26577,248
-1,12321,156
1,17082,22
1,62,248
-1,11082,63
1,24751,243
-1,27396,108
1,14173,3
-1,15413,56
-1,26868,194
-1,32026,121
1,13936,198
-1,21171,188
-1,21868,79
-1,993,212
-1,31127,178
-1,1475,8
-1,13289,118
-1,14156,123
-1,20085,169
1,23371,183
-1,23296,184
1,18196,245
-1,25958,79
1,14833,134
-1,27151,178
1,25742,130
1,12938,121
-1,2603,231
1,14455,91
-1,30847,98
-1,29816,118
-1,17254,100
-1,1105,52
1,7282,114
1,25507,179
-1,637,194
1,20324,49
1,13707,95
1,20578,114
-1,32141,157
1,24647,43
-1,600,182
-1,16884,221
1,29518,31
-1,3636,51
1,28968,253
1,15383,12
-1,29045,214
1,258,153
-1,21823,65
1,24043,16
-1,24709,246
-1,15882,203
1,13102,0
1,13469,118
1,31880,94
1,12778,148
-1,29628,91
-1,538,152
-1,26271,202
1,12962,116
1,20406,160
1,15540,197
-1,31931,190
1,15531,101
1,6933,87
-1,19224,148
1,19987,221
-1,21007,36
-1,14156,96
1,17600,221
-1,2570,113
-1,9197,23
1,10281,246
1,22185,44
-1,10876,110
1,12376,74
-1,6099,204
-1,30551,216
1,18024,28
1,4243,234
-1,15348,120
1,4795,56
1,1991,197
-1,4276,80
1,2076,92
-1,23644,36
-1,17758,133
1,3883,58
1,13573,174
1,10943,50
1,28879,123
1,17462,241
1,4561,121
-1,28768,126
-1,12158,141
-1,22819,166
-1,23293,141
-1,4463,114
-1,7056,250
-1,10732,19
-1,23857,112
1,21720,172
-1,11829,250
-1,1580,217
1,25178,182
-1,31631,134
-1,21839,93
-1,3467,177
1,16994,35
-1,27900,75
-1,3376,135
-1,23790,98
-1,19275,101
-1,20718,215
1,29304,98
1,15130,138
1,2334,126
1,555,8
1,13091,68
-1,11627,126
1,285,40
1,23051,142
-1,16858,42
-1,4461,130
1,4692,8
-1,18968,102
1,12396,16
-1,20652,211
1,16804,86
1,22492,205
-1,25077,178
-1,8487,11
-1,3615,240
-1,16402,48
1,24878,218
1,15597,51
-1,16955,90
1,14474,46
-1,22546,62
-1,30797,39
-1,23054,108
1,7037,197
1,32022,112
1,16402,178
1,1073,200
1,1774,114
-1,3034,170
1,25744,126
1,8417,122
-1,9893,187
1,4065,174
-1,32287,152
-1,11926,180
1,842,232
1,5800,74
1,4264,123
1,6862,59
-1,5691,153
-1,29445,214
-1,11278,155
1,26979,194
-1,2195,135
-1,17509,217
1,7934,147
-1,32627,56
-1,22754,33
1,10118,157
1,9798,212
-1,20819,181
-1,7778,147
1,9322,155
1,16236,61
1,9718,137
-1,19726,81
1,10025,59
1,18779,166
-1,18768,175
1,8650,171
1,13078,252
-1,27273,169
-1,7928,194
1,1059,204
1,29620,150
-1,12564,120
1,21556,66
-1,32112,39
-1,20874,58
1,14358,49
-1,14815,133
-1,14232,139
1,26918,234
1,8406,158
1,27345,106
-1,22309,41
-1,29867,6
1,13618,71
-1,29908,211
-1,24811,198
1,24919,103
-1,23016,192
1,221,39
1,8228,85
-1,19202,209
1,2339,255
1,24599,93
1,14071,95
-1,1208,241
1,4246,225
-1,19546,157
1,26137,91
1,14025,166
-1,2083,255
-1,28080,228
-1,3083,250
1,16663,254
-1,14027,77
-1,16065,184
1,12999,50
1,8623,57
1,17769,67
-1,19628,149
1,7004,235
1,24224,127
1,4891,182
1,13065,230
-1,22379,189
-1,4139,240
1,28616,219
1,872,34
-1,3913,227
1,24207,0
1,3224,14
1,32531,35
-1,23307,106
-1,25086,62
1,27827,18
1,26098,172
-1,4085,79
-1,7193,98
-1,26060,103
-1,22922,143
-1,19323,195
-1,32755,76
-1,1854,235
-1,13709,40
1,19766,46
-1,4165,88
-1,27037,145
1,24089,48
1,1254,110
-1,26720,160
-1,23809,199
-1,22763,212
1,19930,38
-1,30900,26
-1,13835,167
1,30539,116
-1,26871,178
1,6814,211
1,15699,167
-1,3111,65
1,21911,237
-1,84,49
-1,5939,171
-1,4254,50
1,31541,15
1,20477,199
1,28502,52
-1,24550,39
1,17727,245
-1,13104,145
1,27750,29
1,20494,68
-1,23816,66
1,10645,9
1,10079,0
1,14644,163
-1,28106,195
1,20458,8
1,18131,240
1,11626,43
1,30498,254
-1,20771,161
-1,625,188
-1,8721,245
-1,9437,66
-1,11987,103
1,7021,185
-1,975,215
-1,700,83
-1,21121,226
1,27484,32
1,27276,135
-1,18585,250
-1,19101,239
1,26735,35
-1,16363,195
1,3863,247
1,4437,213
-1,7905,76
1,8125,169
-1,6941,145
-1,18221,123
-1,32596,100
-1,4611,197
1,18819,36
-1,12887,45
-1,8823,249
1,23796,169
-1,25331,255
-1,21675,44
1,23835,207
-1,5596,189
-1,6177,69
-1,12536,151
1,29215,127
-1,9059,187
1,4063,3
1,8224,17
1,4385,215
-1,12445,90
-1,14105,116
1,28366,50
1,2846,107
-1,1611,229
1,24417,214
1,30957,25
1,7081,73
1,27110,51
-1,8505,220
-1,2792,15
1,4053,214
-1,15026,193
-1,19308,97
-1,28461,203
-1,6630,206
-1,20868,112
-1,3057,148
-1,2979,240
1,129,54
-1,2258,143
1,29499,178
1,22520,224
-1,9637,46
-1,3412,44
1,32752,108
-1,14105,8
-1,5405,133
-1,3240,251
-1,25010,112
1,24852,224
1,31632,131
1,27504,154
-1,6677,103
1,31100,114
-1,13002,193
-1,4931,232
-1,21021,218
-1,22847,77
-1,19616,83
1,13265,101
1,516,214
1,13893,3
-1,31701,142
1,23592,250
-1,13202,247
-1,32185,231
-1,25106,17
-1,11884,150
1,29061,250
1,23913,175
1,5252,96
-1,30732,35
-1,31445,114
-1,12339,36
-1,23567,216
-1,30928,132
1,20868,148
-1,28375,6
1,2039,157
1,13159,92
-1,20148,196
-1,26722,65
-1,32700,170
-1,20565,195
1,19251,3
-1,10072,179
-1,26951,145
-1,5787,26
-1,21921,211
1,30561,234
-1,25808,192
1,21858,197
-1,20268,51
1,11494,167
1,8028,174
1,7295,120
1,865,182
-1,2519,238
1,13491,204
1,9149,212
-1,19244,69
-1,13188,232
-1,24775,142
1,19755,209
1,29344,100
1,2878,48
1,19509,125
-1,16965,32
1,6811,123
-1,14120,198
-1,4647,244
1,15928,29
1,27547,184
1,17489,182
-1,8863,67
-1,1445,58
-1,29168,190
1,30195,217
-1,16964,90
-1,12625,27
-1,13177,178
-1,31830,13
-1,29994,29
-1,1087,231
-1,1986,6
1,20997,150
-1,11719,186
-1,6580,91
-1,12326,209
1,17498,7
1,26643,143
1,32302,142
1,17946,183
1,3161,228
-1,7155,177
1,18733,83
1,25613,0
-1,32294,112
-1,4638,227
1,15722,178
-1,29808,217
1,16762,111
-1,12231,36
1,22045,87
1,12850,118
1,10987,197
1,2042,5
1,9596,103
1,28322,26
1,4520,214
1,14535,172
-1,22354,202
1,30061,13
1,24250,47
-1,10810,113
1,19779,11
-1,19804,89
-1,9239,208
-1,14646,32
1,9317,48
1,8241,26
1,30714,171
-1,22587,202
-1,17928,109
-1,2295,153
-1,6618,110
-1,5088,114
-1,4970,120
1,23950,70
-1,27282,125
1,20220,162
-1,28707,38
-1,23195,76
-1,23855,230
-1,23064,196
1,10232,252
-1,21201,14
1,2317,161
1,10565,33
1,15340,1
-1,13625,72
1,17415,166
1,4186,218
1,23866,140
1,3042,155
-1,23092,143
-1,10820,40
1,4051,178
-1,1281,113
1,14008,237
1,14130,25
1,7440,190
-1,28756,114
-1,13055,118
-1,12182,178
1,3301,87
1,23326,235
-1,31747,35
1,115,190
1,11846,28
1,29783,137
1,31649,2
-1,30910,230
-1,14164,119
-1,26588,9
-1,15678,162
1,28425,0
-1,14748,171
-1,480,150
-1,10330,125
-1,19617,96
-1,25391,180
1,23340,34
-1,25762,217
-1,7792,158
1,9404,34
1,15044,100
1,3910,182
1,15134,118
-1,7513,212
1,10465,61
1,18247,80
1,2457,194
-1,9581,63
-1,1439,246
1,26432,211
1,32209,160
-1,28167,8
1,12088,216
-1,29527,201
-1,24124,171
-1,25537,208
-1,11353,46
-1,12856,214
-1,7585,82
1,1402,176
1,14883,201
-1,4556,242
1,6467,140
1,21769,100
1,11550,255
1,8635,15
-1,5535,242
-1,18492,78
-1,5060,175
-1,19208,25
-1,22865,49
1,23327,59
-1,16167,250
1,27915,153
-1,3023,29
-1,10308,117
-1,20848,232
-1,19518,105
-1,10434,102
-1,26172,97
-1,6302,60
1,1458,78
-1,11235,115
-1,2787,37
1,9422,190
1,6396,227
-1,4609,119
-1,27124,153
-1,19567,2
-1,25338,140
1,9999,157
-1,22509,140
-1,25909,238
1,23953,221
1,25326,30
-1,23624,122
-1,5350,61
1,15602,82
-1,29173,20
-1,26750,100
-1,14366,209
-1,11855,130
-1,24832,122
1,7818,142
1,22922,34
1,23587,61
-1,23730,255
-1,23576,117
-1,29031,43
1,10797,90
-1,9657,206
-1,8954,183
1,1905,69
1,9910,73
-1,13157,6
-1,17803,124
1,13059,13
-1,14314,5
1,27493,106
-1,31523,44
1,21505,202
1,17737,71
-1,12615,11
-1,32682,209
1,17672,150
1,3075,82
1,14791,30
1,14797,251
-1,27357,89
-1,11548,91
1,2558,95
1,1632,0
1,13405,214
-1,8001,247
1,27182,94
-1,2305,84
1,11659,0
1,20353,23
-1,27955,168
-1,13307,44
1,21257,245
-1,5283,44
1,31312,232
1,9019,251
1,19903,48
1,29827,186
1,8728,181
-1,22738,125
1,5698,174
1,13383,140
-1,7501,158
1,31112,252
-1,20535,223
1,2465,7
-1,19211,161
1,3940,161
-1,14073,90
-1,13979,209
-1,25881,166
-1,25303,91
1,18365,12
1,8603,144
-1,31468,139
1,273,125
1,3828,58
1,425,212
1,7714,76
-1,10883,185
-1,13797,132
1,28015,106
-1,32283,20
1,25781,139
1,15197,162
1,28717,185
-1,26,146
-1,28184,114
-1,3970,135
1,15236,84
1,26673,131
1,30267,162
-1,20881,53
-1,25800,213
-1,3378,11
1,10572,76
-1,31574,5
1,13632,120
-1,3414,24
-1,30460,3
-1,26897,10
1,15897,160
-1,26247,244
-1,24479,85
1,30827,48
1,8731,134
-1,11596,175
-1,1014,244
1,6931,61
-1,6890,212
1,17937,85
-1,27542,14
-1,3564,163
1,718,254
1,24666,85
1,23271,237
-1,12786,105
1,9954,163
1,10758,117
1,31944,177
1,24381,186
1,10588,148
-1,26884,64
1,26944,136
-1,19149,54
-1,4338,10
1,24067,84
-1,17225,1
1,27629,91
1,21960,212
-1,29717,19
-1,14711,130
-1,13990,201
-1,16651,7
1,16974,115
-1,6006,43
1,8680,34
1,27471,56
1,11857,38
1,24480,113
-1,30956,105
-1,18914,111
-1,25943,66
-1,11015,131
1,21979,6
1,14266,126
1,8093,252
-1,16913,218
-1,26523,60
1,10856,219
-1,21985,59
-1,18154,112
1,123,131
-1,30023,5
1,26662,203
-1,25062,12
1,10007,181
1,14699,10
1,12454,35
-1,5786,144
-1,220,169
1,20553,50
1,20101,100
1,16294,120
1,13848,55
1,4578,100
1,5031,47
-1,24126,70
1,13753,152
1,20845,50
1,18689,26
1,26539,23
1,17735,18
1,5545,138
-1,1674,96
-1,12092,113
-1,24415,204
1,4841,96
1,29173,96
-1,13941,74
-1,30108,202
-1,16713,66
-1,7621,191
-1,31043,245
-1,5959,249
1,2376,245
-1,16626,89
-1,17850,84
-1,14887,28
-1,25855,57
-1,6727,170
-1,13147,202
1,28823,116
-1,10779,145
1,5241,204
-1,2476,86
-1,26605,66
-1,20837,250
-1,23752,39
1,7492,65
1,885,179
-1,2154,104
-1,9251,183
1,26219,178
1,29841,42
-1,181,181
-1,9705,174
-1,19426,167
1,19224,99
1,2109,155
1,9732,215
-1,6975,236
1,9548,117
-1,30387,204
-1,1549,195
-1,6704,58
1,8940,16
1,8457,68
1,9177,39
-1,24883,147
1,2476,15
-1,94,155
-1,30214,241
1,9842,199
1,16179,137
1,21490,250
-1,16879,108
-1,30065,162
1,5973,1
-1,32430,79
1,20574,18
1,27189,248
1,12705,130
-1,1850,154
1,1082,106
1,463,61
-1,18019,94
1,22146,22
-1,8037,1
1,4025,212
1,27848,129
1,27350,228
-1,4227,141
-1,6762,21
1,14562,82
-1,7734,19
1,11218,58
1,1008,90
1,25045,22
1,18427,229
-1,8660,253
1,26919,16
-1,8895,184
-1,17090,203
-1,2554,170
1,14623,109
1,24588,96
1,10114,239
-1,11133,202
1,20254,233
1,1489,79
-1,11571,96
-1,15689,113
-1,860,14
-1,16530,44
1,3340,248
-1,568,64
-1,15366,174
-1,24812,4
1,29501,17
-1,14285,176
-1,19518,136
-1,28182,177
-1,22452,201
-1,23206,91
-1,1314,213
-1,15062,125
-1,21140,254
1,22179,197
1,8694,128
1,939,50
1,24004,115
1,23740,57
1,5286,180
1,25489,251
-1,10096,109
-1,16072,44
-1,31190,16
1,3355,214
1,20422,198
-1,21466,204
-1,27169,78
1,13355,231
-1,15789,51
1,14731,229
-1,5428,241
1,11901,49
1,15512,161
-1,15474,255
1,30162,48
-1,1526,126
1,5070,217
1,25684,59
1,1438,70
1,16738,164
1,28904,91
-1,24321,148
-1,1870,146
1,7258,208
-1,23107,70
1,3093,224
1,25304,37
-1,7588,163
1,24231,60
1,27437,147
-1,10057,170
-1,4284,166
1,7545,131
-1,4265,156
-1,23063,133
1,978,198
1,16453,224
1,24000,223
-1,4214,124
1,20602,168
1,19577,155
-1,15990,169
-1,32718,83
-1,13391,190
-1,26697,61
1,27801,77
-1,14627,125
1,11850,43
1,29327,141
1,21844,211
-1,8339,48
-1,18932,15
-1,6051,165
1,1432,164
-1,21007,148
1,15248,61
1,4193,163
-1,29209,215
-1,28737,52
-1,13059,167
-1,4465,134
-1,2897,223
-1,17631,232
1,26149,91
-1,28911,57
-1,26185,164
1,4617,126
1,25049,72
1,2037,11
1,17921,139
1,6940,66
1,9312,161
1,20060,206
1,19783,153
1,14805,120
-1,506,27
1,21211,3
1,26930,125
1,25890,178
-1,7497,119
-1,25074,130
-1,26550,85
1,29605,161
-1,28316,133
-1,6051,45
-1,4177,70
-1,635,170
1,22192,112
1,2049,75
1,6388,28
1,10297,172
-1,4915,27
1,3555,156
1,30494,120
-1,22008,46
1,32241,217
-1,4548,109
-1,29253,123
-1,1627,173
-1,723,75
-1,9739,232
1,6890,211
1,32588,254
1,2935,252
1,23939,95
1,3317,238
1,32355,82
-1,29765,176
-1,12498,104
1,118,54
1,273,110
1,17810,18
-1,25174,158
1,18883,175
1,20731,61
-1,22476,63
1,9726,228
-1,26148,224
1,27702,15
1,25921,238
1,26373,78
1,30419,0
-1,220,158
1,26700,38
1,17876,167
-1,19690,3
1,24435,150
-1,24374,206
1,1336,68
-1,3832,252
1,9245,141
-1,4403,166
1,27406,171
1,7798,247
1,19797,252
-1,11611,30
1,13611,228
-1,21089,249
1,14231,45
1,21526,79
1,28678,173
-1,31947,119
-1,7806,34
-1,3470,124
-1,9204,113
1,23760,148
-1,24064,145
-1,7718,21
-1,32029,21
-1,3663,57
1,908,160
1,29449,44
1,27868,134
-1,23762,101
1,14049,142
-1,7791,202
1,10491,232
1,18338,222
-1,4741,165
1,29765,1
1,7743,79
1,12307,111
-1,23601,94
-1,5495,96
-1,16269,185
-1,22655,221
-1,18539,119
-1,8444,52
-1,1262,219
1,17181,87
-1,22295,9
-1,28279,248
-1,21501,79
1,31402,173
1,23800,153
1,10588,215
-1,25067,160
-1,8283,207
1,1298,95
-1,23895,58
1,21537,202
-1,29505,53
-1,12655,93
-1,22236,194
1,16081,193
1,7095,76
-1,32125,84
1,4956,108
1,16358,128
1,23459,27
1,6202,129
1,12681,149
-1,20317,52
1,7983,169
-1,20669,90
-1,7020,156
1,15121,27
1,24051,128
1,15095,153
-1,22767,78
1,8646,165
-1,10741,251
1,13041,145
1,21284,190
-1,18469,210
-1,23604,168
-1,8035,70
-1,24980,80
1,29727,200
-1,26366,241
-1,5826,103
-1,4045,225
-1,23902,50
-1,10739,228
-1,13780,208
1,10918,28
-1,1842,234
1,29523,151
-1,22403,123
-1,18311,20
1,29063,74
-1,19222,126
-1,11508,39
-1,23074,172
1,25821,85
-1,29146,120
1,29461,176
-1,26385,202
-1,23470,82
1,16367,236
1,13475,109
1,14723,182
1,13354,112
1,25616,150
-1,14997,76
1,28602,241
-1,15024,46
1,9805,148
1,14965,243
-1,23750,34
-1,26054,207
1,21879,75
-1,4070,171
1,8519,46
1,5360,195
-1,30363,171
1,275,227
1,11068,167
-1,27880,181
1,25738,161
-1,12775,10
-1,20429,141
1,7631,1
-1,25374,102
1,8262,189
1,10274,175
1,22147,27
1,7570,158
-1,3374,154
-1,18628,105
-1,23172,31
-1,13560,87
-1,12672,209
1,11425,7
-1,25385,10
1,12960,131
1,13238,78
-1,28712,147
-1,29809,136
1,29406,73
-1,5198,11
1,15120,214
-1,10447,2
-1,21286,92
-1,20702,185
1,23941,160
-1,31901,173
1,19707,150
1,19409,9
-1,32070,114
-1,22788,245
-1,9081,126
1,13628,157
1,2742,129
1,30349,48
1,13540,170
1,20504,214
-1,9590,171
-1,4824,160
1,3722,37
-1,30629,107
-1,30228,48
-1,5918,2
-1,12687,42
1,19204,98
1,16630,237
1,5769,212
-1,8834,16
1,5593,24
1,21473,83
-1,1562,226
-1,7578,62
1,22823,35
1,16399,220
1,31067,45
1,8692,157
1,3260,66
1,19960,20
1,13717,221
-1,31247,118
-1,30026,191
1,13013,120
1,32453,33
-1,12441,33
1,14098,58
-1,11800,130
1,1408,252
1,29309,111
1,31765,30
-1,6918,158
-1,1148,180
-1,32027,76
-1,1885,67
-1,13804,77
-1,9075,85
-1,32570,102
-1,471,159
-1,7653,124
1,28603,2
-1,29636,201
-1,29221,239
1,30005,253
1,27807,189
1,6573,162
1,11556,20
-1,29071,36
1,13923,9
-1,477,208
1,11709,157
1,12564,50
1,20269,191
1,24964,174
-1,1433,125
1,13864,178
-1,25570,75
1,25431,137
-1,3200,213
1,2264,64
1,8041,194
-1,25634,68
-1,3961,220
1,20097,196
1,6272,212
-1,7152,45
1,8770,229
1,19446,153
1,20336,200
-1,27905,177
1,9335,223
1,21800,222
-1,31136,222
1,7509,251
-1,12385,39
-1,13018,167
1,16476,25
1,29596,161
-1,18196,121
-1,4158,173
-1,2429,167
-1,6183,185
1,5769,141
-1,20232,62
-1,22501,85
1,29985,122
-1,14401,157
-1,26803,35
1,3324,186
-1,2305,19
-1,7857,156
1,25443,10
-1,5489,27
1,16250,51
1,8001,74
1,17154,167
1,8891,209
1,19554,230
-1,19493,68
-1,5955,116
-1,20379,208
1,26687,228
1,6218,245
1,16016,128
-1,28421,242
1,18625,166
1,25473,132
-1,3480,129
1,31688,166
-1,15386,139
1,29597,202
-1,24475,225
-1,15379,91
-1,22175,64
-1,6740,222
1,11176,208
-1,13503,219
1,20339,114
1,23572,100
1,5712,174
1,30128,187
-1,19087,232
-1,23344,82
1,17696,77
1,25115,62
-1,25048,139
1,5320,251
1,27214,25
1,10176,206
1,25780,172
1,10493,238
-1,7721,73
1,2571,240
-1,24821,30
-1,31210,202
1,7711,87
1,6237,140
1,29034,213
1,16646,253
1,31311,165
-1,14951,141
-1,8758,27
-1,14953,185
1,19310,25
-1,14256,254
1,783,82
1,11445,191
-1,26743,152
1,7762,232
1,10765,105
1,32268,205
-1,577,106
1,9582,63
1,10219,5
-1,6816,103
-1,19298,92
-1,1229,85
-1,21833,12
1,26989,176
1,2272,84
-1,4856,81
-1,19828,223
-1,30025,227
1,16174,53
1,18983,108
-1,2721,230
1,31982,133
-1,16624,127
1,30886,147
-1,426,16
1,12558,3
1,15367,37
-1,10061,35
1,15308,88
-1,24603,241
-1,19416,124
-1,15256,48
-1,15564,88
1,5071,248
1,10243,18
-1,11007,28
1,29054,134
-1,8600,236
1,17040,65
-1,31287,133
1,30807,123
-1,3270,184
1,19626,55
-1,27553,75
1,5734,148
-1,785,96
1,3191,166
-1,6060,32
-1,14428,43
-1,16170,98
1,20706,55
1,10176,104
1,15029,141
-1,12013,57
1,25344,69
-1,5005,110
1,15129,255
-1,6788,124
1,31601,138
-1,22780,37
1,11050,249
1,14147,63
-1,30758,82
1,22257,31
1,32578,111
-1,18186,119
1,27597,81
-1,24787,187
-1,18845,22
1,750,176
1,952,42
1,6641,65
1,3744,152
-1,12559,157
1,10609,7
-1,17514,154
1,24878,92
1,31096,206
-1,32021,23
-1,15769,174
1,18251,3
-1,22761,250
-1,23139,185
-1,12686,152
-1,23086,111
1,16414,204
1,901,79
1,1014,38
1,15796,54
1,22074,0
1,15662,241
1,23533,55
-1,116,177
-1,20667,196
1,1820,222
1,15799,202
-1,1167,121
-1,7409,251
1,29521,21
-1,32203,99
1,18693,63
-1,30044,200
-1,32318,103
1,15698,248
-1,23181,248
1,17037,112
-1,3582,152
-1,25593,170
1,1354,15
-1,24642,180
-1,16060,233
-1,32258,54
-1,32565,81
-1,11099,141
-1,20211,45
1,11676,230
1,20336,110
-1,23995,188
-1,18190,90
1,30775,162
-1,7097,160
-1,8322,188
-1,3200,90
1,17962,194
-1,16721,151
1,8539,143
1,2468,3
1,24294,145
-1,27995,121
1,7051,100
-1,26475,75
1,13728,157
-1,18056,142
1,32123,65
1,20833,82
-1,23989,135
-1,24467,210
1,19150,234
1,12424,142
-1,8215,78
1,10161,176
1,23057,46
